Question,Tickets,Difficulty,Category,Question Text,Correct Answer
36,2,Easy,"Ingredients & Food Science","Gluten is primarily formed from proteins found in which ingredient?","Wheat flour"
37,10,Hard,"Spirits & Cocktails","A classic Manhattan is built around whiskey, sweet vermouth, and…","Bitters"
38,4,Medium,"World Cuisine","Gumbo is especially associated with the cuisine of which U.S. state?","Louisiana"
39,2,Easy,"Spirits & Cocktails","A classic Old Fashioned is centered on whiskey, sugar, and…","Bitters"
40,4,Medium,"Wine","Which white grape variety is famously made in both oaked and unoaked styles?","Chardonnay"
41,4,Medium,"World Cuisine","Shakshuka most commonly features eggs cooked in…","A spiced tomato and pepper sauce"
42,4,Medium,"Beer","Malted barley primarily provides beer with…","Fermentable sugars"
43,4,Medium,"Culinary Basics","What is “fond” in cooking?","The browned bits left in a pan after searing"
44,2,Easy,"Spirits & Cocktails","If a guest orders whiskey “on the rocks,” they want it…","Served over ice"
45,2,Easy,"Spirits & Cocktails","An Espresso Martini commonly contains vodka, espresso, and…","Coffee liqueur"
46,2,Easy,"Restaurant & Service","What does it mean to pre-bus a table?","Remove finished or unneeded items throughout the meal"
47,2,Easy,"Culinary Basics","Why is meat often allowed to rest after cooking?","To let juices redistribute before slicing"
48,4,Medium,"World Cuisine","A tagine is strongly associated with the cuisine of…","Morocco"
49,4,Medium,"Restaurant & Service","What is a “comp” on a guest check?","An item or charge made complimentary"
50,10,Hard,"Spirits & Cocktails","A classic dry Martini is traditionally made with gin and…","Dry vermouth"
51,2,Easy,"Restaurant & Service","Why do kitchen staff call out “behind” when moving through a tight space?","To warn someone that they are passing behind them"
52,2,Easy,"Spirits & Cocktails","Which spirit is the base of a classic Margarita?","Tequila"
53,2,Easy,"Spirits & Cocktails","Which botanical must be a defining flavor in gin?","Juniper"
54,4,Medium,"Beer","Compared with ales, are lagers traditionally fermented at cooler or warmer temperatures?","Cooler, with lager yeast"
55,2,Easy,"Beer","A stout typically gets much of its dark color and roasted flavor from…","Darkly roasted malt or barley"
56,2,Easy,"Culinary Basics","What kitchen tool is designed to make fast, uniform thin slices?","Mandoline"
57,4,Medium,"Restaurant & Service","In restaurant slang, “on the fly” means an item is needed…","Urgently and as quickly as possible"
58,4,Medium,"Wine","Which white wine is commonly known for bright acidity and citrus or herbal notes?","Sauvignon Blanc"
59,4,Medium,"Restaurant & Service","Why are seat numbers useful in full-service dining?","They help deliver the correct item to the correct guest without auctioning food"
60,2,Easy,"Culinary Basics","What is a roux?","A cooked mixture of fat and flour"
61,2,Easy,"Spirits & Cocktails","Rum is produced from ingredients derived from…","Sugarcane"
62,10,Hard,"Spirits & Cocktails","Bourbon must be made from a grain mixture that is at least 51%…","Corn"
63,4,Medium,"Ingredients & Food Science","What has been removed from clarified butter?","Water and milk solids"
64,4,Medium,"Spirits & Cocktails","An aperitif is generally intended to be enjoyed…","Before a meal"
65,2,Easy,"Beer","In a bar, a beer “flight” is…","A selection of smaller samples"
66,2,Easy,"Culinary Basics","Which taste is best described as savory or deeply meaty?","Umami"
67,4,Medium,"Ingredients & Food Science","What naturally occurring substance helps jams and jellies set?","Pectin"
68,4,Medium,"World Cuisine","Sushi rice is traditionally seasoned with a mixture based on…","Rice vinegar"
69,4,Medium,"World Cuisine","Mole is a family of sauces most closely associated with…","Mexico"
70,2,Easy,"Culinary Basics","What is the main goal of searing food?","Develop a browned, flavorful crust"
71,2,Easy,"World Cuisine","Kimchi is most closely associated with which cuisine?","Korean"
72,4,Medium,"Restaurant & Service","When expo tells the kitchen to “fire” a course, they mean…","Begin cooking or finishing it now"
73,4,Medium,"Restaurant & Service","What is a corkage fee?","A charge associated with a guest bringing their own bottle of wine"
74,4,Medium,"Ingredients & Food Science","Baking soda generally needs what to react and create lift?","An acid"
75,10,Hard,"Restaurant & Service","On a kitchen line, “all day” usually refers to…","The total quantity of an item currently needed across active tickets"
76,2,Easy,"Culinary Basics","Classic mirepoix is made from which three vegetables?","Onion, carrot, celery"
77,4,Medium,"Spirits & Cocktails","A digestif is traditionally served…","After a meal"
78,4,Medium,"Ingredients & Food Science","Ghee is most closely related to which ingredient?","Clarified butter"
79,2,Easy,"World Cuisine","Naan is a type of…","Flatbread"
80,2,Easy,"Restaurant & Service","In restaurant reporting, one “cover” generally represents…","One guest served"
81,4,Medium,"Culinary Basics","What is a salamander in a professional kitchen?","A powerful overhead broiler"
82,4,Medium,"Wine","When a wine is described as “dry,” it usually means it has…","Little perceptible residual sugar"
83,4,Medium,"Culinary Basics","What is a bain-marie?","A hot-water bath used for gentle, even heating"
84,2,Easy,"Ingredients & Food Science","Tahini is made primarily from…","Sesame seeds"
85,4,Medium,"Culinary Basics","What cooking method browns food first, then cooks it slowly with some liquid?","Brown first, then cook slowly with some liquid"
86,2,Easy,"Restaurant & Service","What does “sidework” mean for restaurant associates?","Support tasks outside direct guest service"
87,10,Hard,"Ingredients & Food Science","Saffron comes from which part of a flower?","The stigmas"
88,2,Easy,"Wine","What famous red wine grape is known for blackcurrant character and firm tannins and is a major grape in Bordeaux blends?","Cabernet Sauvignon"
89,4,Medium,"Wine","Tannins in wine are most often experienced as…","A drying or gripping sensation"
90,2,Easy,"World Cuisine","Jerk seasoning and cooking are most closely associated with…","Jamaica"
91,2,Easy,"Spirits & Cocktails","What spirit is generally distilled toward a relatively neutral flavor profile?","A relatively neutral spirit"
92,2,Easy,"Ingredients & Food Science","Which cheese is traditionally used in tiramisu?","Mascarpone"
93,4,Medium,"Culinary Basics","What does it mean to blanch a vegetable?","Briefly boil it, then cool it quickly"
94,4,Medium,"Culinary Basics","What is “carryover cooking”?","Food continuing to cook after it leaves the heat"
95,2,Easy,"Restaurant & Service","What does the kitchen callout “corner” communicate?","Someone is approaching or coming around a blind corner"
96,2,Easy,"Spirits & Cocktails","If a guest orders a spirit “neat,” how is it served?","Without ice or a mixer"
97,4,Medium,"Beer","Pilsner is a style within which broad beer family?","Lager"
98,10,Hard,"Ingredients & Food Science","What happens when cornstarch thickens a hot liquid?","The starch granules swell and gelatinize"
99,4,Medium,"Wine","Pinot Noir is generally considered a…","Red grape variety"
100,2,Easy,"World Cuisine","Paella originated in which country?","Spain"
